regime,target,prediction,weight_har_rv,weight_lstm,weight_tcn,weight_chronos_fintext,weight_timesfm_fintext
0,0.0019731154,0.0021757034,0.0015207913,0.92873156,0.015873738,0.049890704,0.003983187
1,0.0022492302,0.002448763,0.024093429,0.90431356,0.042624775,0.018196844,0.010771423
1,0.0028533654,0.002704085,0.032428272,0.8790737,0.051489368,0.022989072,0.014019692
-1,0.0033553448,0.0031476023,0.00023181248,0.95421153,0.0066781254,0.037969034,0.00090948003
2,0.001992448,0.0035624525,0.005858067,0.9804145,0.010658559,0.0022416422,0.00082722906
0,0.0024881752,0.0025636083,0.0048829033,0.8285916,0.043909453,0.1129662,0.009649808
0,0.0020631778,0.002229929,0.0031778752,0.86253214,0.032099564,0.094809495,0.0073809735
0,0.0015706669,0.0020530196,0.0024810922,0.89076376,0.02390864,0.077060305,0.0057862247
0,0.0017910231,0.0021655997,0.0029619958,0.8891231,0.025339633,0.07602633,0.00654899
1,0.0017517459,0.0024144407,0.030537212,0.8990412,0.042000372,0.017289832,0.011131419
1,0.0025663727,0.0028891312,0.031571142,0.8939327,0.044314463,0.018618207,0.011563507
-1,0.004106629,0.0032837014,0.00018988247,0.9581998,0.00553565,0.035320897,0.00075372594
0,0.0025746126,0.003424576,0.005155947,0.83141303,0.04252821,0.11013761,0.010765272
0,0.0023859448,0.0027102232,0.004675898,0.8361142,0.04281223,0.10643799,0.009959683
0,0.002112528,0.0022563152,0.0018174622,0.9080528,0.02011129,0.065745525,0.004272994
0,0.0021916232,0.002065217,0.0012063632,0.9321818,0.014301041,0.049240135,0.0030706674
0,0.0013987152,0.0020962365,0.0012919278,0.93390894,0.014733667,0.046564367,0.0035010746
1,0.0015697641,0.002373625,0.022241369,0.9223501,0.03448782,0.013046782,0.0078739105
0,0.0030931118,0.002749261,0.002565296,0.9089115,0.021261642,0.061383594,0.0058779037
-1,0.0024023352,0.0030465936,0.00014889457,0.963319,0.004757741,0.03114983,0.0006244578
2,0.0037046038,0.003285807,0.004937115,0.98472273,0.0081634745,0.0015624099,0.0006142215
0,0.0019163928,0.0026236766,0.0043760925,0.83567035,0.043461327,0.10745781,0.009034317
0,0.001542367,0.002186358,0.0031255935,0.87284636,0.03197777,0.085006736,0.007043499
0,0.0021433737,0.0020819446,0.0015228149,0.92132246,0.017542627,0.055784762,0.0038273109
0,0.0023213264,0.0022543361,0.0016266481,0.9174953,0.0190575,0.057439417,0.0043811738
1,0.0015346059,0.0026520065,0.029132724,0.89662284,0.04525417,0.018457776,0.010532517
0,0.0033429582,0.0029772865,0.0032515712,0.8905326,0.026940232,0.071618244,0.007657326
-1,0.0015402279,0.0032358698,0.00037604928,0.94106835,0.009392876,0.047697734,0.0014649213
0,0.0030220493,0.0032907191,0.0070053264,0.8137372,0.05477858,0.110430956,0.014047949
0,0.001246336,0.0024854103,0.003256213,0.8601664,0.035273414,0.09373009,0.0075739115
0,0.0020148535,0.0020517854,0.0024644865,0.8976439,0.024819205,0.06928371,0.005788689
0,0.002233011,0.0019641572,0.0014621031,0.9229168,0.016438866,0.05557022,0.003612006
0,0.0013023723,0.0019903688,0.0013479837,0.9315718,0.014375229,0.049459033,0.0032459837
1,0.0016179363,0.002302364,0.023181237,0.9132113,0.038923036,0.015798314,0.008886098
0,0.0032210567,0.0025941273,0.0021624968,0.9119478,0.02007395,0.060770925,0.0050448626
-1,0.0017059498,0.0028421467,0.00015127267,0.9619128,0.0049180607,0.032388516,0.0006293671
2,0.002182836,0.0029942086,0.0040825647,0.9872476,0.0069446173,0.0012564156,0.00046885485
0,0.0013230934,0.0021959124,0.003906516,0.84497833,0.038712863,0.10392167,0.008480557
0,0.001656621,0.0018337453,0.002790218,0.88066584,0.028387148,0.08152396,0.0066328463
0,0.0012380768,0.0017243648,0.0013416238,0.92670715,0.015540157,0.052916035,0.0034950587
0,0.0011924215,0.0017014453,0.0013367912,0.9334688,0.013797083,0.048071504,0.0033258724
0,0.0015863654,0.0019218394,0.0011615867,0.9418087,0.012654537,0.04126105,0.0031140996
1,0.0017568565,0.0023236098,0.025593981,0.90639424,0.041204058,0.016870173,0.009937539
-1,0.0024134333,0.0028937277,0.0001326834,0.96421313,0.0044902614,0.03061898,0.00054489914
2,0.0023630897,0.0031813232,0.005452284,0.9841105,0.008112491,0.0016275372,0.0006971882
0,0.0018234792,0.0025171358,0.004343998,0.8387374,0.041749176,0.10621134,0.008958071
0,0.0012387175,0.0020324115,0.0036790923,0.86157465,0.03506218,0.09152166,0.008162336
0,0.0021412447,0.0017894706,0.0017409159,0.9167209,0.018238358,0.05905006,0.0042497446
0,0.0019194979,0.001839707,0.0015807524,0.9216848,0.017125234,0.05557963,0.004029523
0,0.0015818436,0.0021568534,0.0016260752,0.929441,0.01595928,0.04892545,0.004048307
0,0.0024188866,0.0026013055,0.00216951,0.9136186,0.01952489,0.059486102,0.0052007935
-1,0.0017948486,0.0030654755,0.0002342707,0.9548897,0.0066647674,0.037277356,0.0009338747
0,0.0022583355,0.0032168226,0.0071148993,0.8130327,0.051483657,0.11372106,0.0146476645
0,0.0017674081,0.0024067368,0.0038073815,0.85876226,0.034254026,0.09487019,0.00830617
0,0.0022306477,0.0019600776,0.0014879771,0.92174596,0.017116055,0.055946197,0.0037038398
0,0.0020726295,0.0017349526,0.0011612154,0.93568575,0.013546484,0.04656789,0.0030387263
0,0.0011087761,0.0016974736,0.0012085858,0.93705726,0.013282473,0.04527339,0.0031782798
0,0.001957896,0.0019216252,0.0010741884,0.94359565,0.01230825,0.040057093,0.0029648598
0,0.0017761549,0.0022427053,0.0018442865,0.9239611,0.016869586,0.05293694,0.004388156
-1,0.001777755,0.0026793221,0.00013190752,0.9655754,0.004509826,0.02921232,0.000570539
0,0.0034051107,0.0029092657,0.0042244256,0.85456777,0.03584977,0.09590373,0.009454351
0,0.0028155115,0.0023675873,0.004038917,0.8510569,0.038322996,0.097764626,0.008816551
0,0.0019572186,0.0020490095,0.0025253105,0.8886229,0.026264003,0.07661697,0.0059708063
0,0.0018975041,0.0019245918,0.0014369698,0.9219008,0.016603071,0.056475703,0.003583376
0,0.0016951002,0.0018876609,0.0014474525,0.9289108,0.015300712,0.050758395,0.003582587
0,0.0018939115,0.0021979485,0.0012316824,0.93729705,0.01354436,0.04477803,0.0031488666
1,0.00201268,0.002595805,0.02813068,0.9045914,0.041485656,0.016381776,0.0094105285
-1,0.0024091913,0.0029141966,0.00013759313,0.96345323,0.004584424,0.031240018,0.0005847845
2,0.0019372918,0.00315052,0.0070099663,0.9773672,0.012163891,0.0024251682,0.0010337734
0,0.0014200098,0.002404309,0.0040704827,0.8486746,0.041529443,0.09704499,0.008680495
0,0.0018646913,0.0019353541,0.0041528423,0.85620695,0.037790142,0.09294384,0.008906149
0,0.000872105,0.0018941598,0.0017384124,0.91450995,0.01944836,0.06009044,0.0042127557
0,0.0016469987,0.001934252,0.0016640605,0.9239357,0.017113654,0.05328138,0.004005232
0,0.0017198598,0.002377899,0.0015272072,0.93246824,0.015660487,0.046470836,0.0038732458
1,0.0017954635,0.0028072747,0.029808983,0.8902935,0.049151227,0.019781167,0.010965135
-1,0.0025076808,0.0031625612,0.0002556915,0.9532705,0.0069103595,0.03854223,0.0010212021
0,0.0016130476,0.003262403,0.0060676783,0.82376295,0.048584845,0.10848405,0.013100468
0,0.0011681514,0.0021992873,0.004621484,0.85006726,0.036426593,0.09935928,0.009525478
0,0.0014254365,0.0017408419,0.001568275,0.9259202,0.015621805,0.053212132,0.0036776047
0,0.0010744269,0.0015226792,0.001379207,0.9359291,0.0132283345,0.046190146,0.0032731825
0,0.0012114877,0.0014561953,0.0013150487,0.94254214,0.011721844,0.04140771,0.0030131976
0,0.0009241296,0.0015677905,0.00084242853,0.95383364,0.008983115,0.03420898,0.0021319287
0,0.0014972466,0.0018276343,0.0014418751,0.93537694,0.013591876,0.04599588,0.0035935019
-1,0.0011738242,0.002123747,5.8777045e-05,0.9764682,0.0024198953,0.020790614,0.0002625329
0,0.0026116427,0.0024667564,0.0026995013,0.8935477,0.02446937,0.0733526,0.0059307422
0,0.0014799659,0.0021783859,0.0037987696,0.86352926,0.033323266,0.09083729,0.008511505
0,0.00095335976,0.0018578564,0.0016301917,0.9174715,0.017207239,0.05970686,0.003984212
0,0.0015069917,0.0017409537,0.001175795,0.93751806,0.012834429,0.045463763,0.0030079759
0,0.0015447168,0.0017428319,0.0012293038,0.93996596,0.012425211,0.04336761,0.0030118765
0,0.0025901329,0.0019573597,0.001033343,0.9440771,0.011275403,0.04093442,0.0026798523
0,0.00207292,0.0021830993,0.001918043,0.9151192,0.018941946,0.05912187,0.004898978
-1,0.0016504991,0.0024494817,0.000109659355,0.9681485,0.003870212,0.027413482,0.00045805098
2,0.0024259433,0.0027592473,0.0073788683,0.97770816,0.011296178,0.0024832357,0.0011335649
0,0.0012967968,0.002248308,0.004165216,0.8447914,0.03956398,0.10246391,0.0090154875
0,0.0015481057,0.0019640978,0.0020973547,0.89676714,0.024669822,0.07097635,0.0054893554
0,0.0012058916,0.0018347753,0.0011420958,0.9318879,0.014780119,0.04900372,0.0031862448
0,0.0010321495,0.0019258896,0.0019992134,0.9074231,0.020753112,0.06464282,0.0051817633
0,0.0012304571,0.0022202146,0.0021394354,0.91768014,0.018620672,0.05659237,0.004967292
1,0.0020773797,0.0025189377,0.029200431,0.9031779,0.040768392,0.01686,0.009993236
-1,0.0023188833,0.002816698,0.00012579159,0.9646323,0.0042004734,0.03052231,0.000519149
0,0.0031762077,0.0029197359,0.0054473896,0.8353369,0.043268207,0.10451829,0.0114291515
0,0.0011105695,0.0024406707,0.003059882,0.8708326,0.031562448,0.087346256,0.007198789
0,0.001484795,0.0020406754,0.001717418,0.91615117,0.019253882,0.058555856,0.0043217614
0,0.0011892896,0.0018548194,0.00094599783,0.9421116,0.011931006,0.04252828,0.0024831113
1,0.0013203186,0.0018504095,0.019594554,0.92831707,0.032667156,0.012199815,0.007221374
0,0.0027549076,0.0022645688,0.00080540887,0.9511025,0.010155018,0.035763822,0.00217316
0,0.0021507374,0.0025168187,0.0026473503,0.90131587,0.024641147,0.064528435,0.0068671657
-1,0.0023738162,0.0027217313,0.00022242803,0.9573914,0.0063050585,0.035166204,0.00091492856
2,0.003951793,0.002881265,0.004620647,0.98643667,0.007051879,0.001319648,0.00057115866
0,0.0011816167,0.002291446,0.0034008375,0.85576177,0.035611413,0.09715868,0.008067331
0,0.0010023525,0.0019301765,0.002630559,0.89044744,0.026532795,0.07420784,0.006181378
0,0.0016602158,0.0018064466,0.0012348562,0.93461305,0.0143220015,0.046738908,0.0030912226
0,0.0009404148,0.0018661236,0.0017436941,0.92862576,0.017198708,0.04812901,0.0043027657
1,0.0012214843,0.0022481072,0.025902702,0.9085401,0.040289912,0.015911104,0.009356248
0,0.0031269898,0.002690629,0.0021674053,0.92004776,0.019351214,0.053443354,0.0049902527
-1,0.002486234,0.0030065726,0.00020127308,0.9586159,0.006037971,0.034299247,0.0008456428
2,0.0015520274,0.0032160617,0.0057528177,0.9809513,0.010259282,0.0021414107,0.0008951663
0,0.002109915,0.0023399547,0.0026491494,0.87380725,0.029340671,0.08823996,0.005962957
0,0.0010354075,0.0020553637,0.0022675055,0.89160115,0.02451743,0.076047,0.0055669774
0,0.0014227758,0.0018572605,0.0010373001,0.936939,0.013008953,0.04622992,0.002784814
0,0.0012901869,0.0017883051,0.000997716,0.94318634,0.011633797,0.041581802,0.002600369
0,0.0016927763,0.0020308564,0.0011504767,0.94288594,0.012276289,0.040785566,0.0029017637
0,0.002362062,0.00240329,0.0017592498,0.921749,0.017919313,0.054006424,0.004565976
-1,0.0018998887,0.0027290464,0.00015933395,0.96289515,0.005056341,0.031236101,0.00065293413
0,0.003069459,0.0028794552,0.0046900823,0.83668184,0.040819034,0.10735333,0.01045573
1,0.0025182778,0.0026555918,0.052249968,0.7890755,0.094928205,0.041088503,0.022657812
0,0.001804079,0.0023230906,0.0033621443,0.8867022,0.026215903,0.07683789,0.0068818503
0,0.0016798308,0.0021517612,0.0017658585,0.92479783,0.01579242,0.053744867,0.0038990285
0,0.0019209648,0.0021182064,0.0018761931,0.9291489,0.015519723,0.049280234,0.004174938
0,0.002179121,0.002460639,0.0014184923,0.93293405,0.014204362,0.04790561,0.0035375245
1,0.00188006,0.0027883623,0.036010228,0.87519175,0.05201384,0.022852069,0.013932109
-1,0.002775619,0.0030056536,0.0001614912,0.96186686,0.004962796,0.032381807,0.0006271115
0,0.0020686,0.003051579,0.0057224543,0.82462424,0.045784965,0.111900195,0.011968082
0,0.0016273657,0.002397466,0.0072389836,0.80013704,0.05602475,0.12327682,0.013322405
0,0.0024355443,0.001904808,0.0029321585,0.8880636,0.027376823,0.07492088,0.0067065754
0,0.0016068722,0.0017840493,0.0017200192,0.9158379,0.018709693,0.059456803,0.004275613
0,0.0015389345,0.001682097,0.0017612402,0.9261875,0.016515313,0.05145714,0.004078872
0,0.0012396752,0.0019156184,0.0016200057,0.93097043,0.014581483,0.04916361,0.0036644125
0,0.0021738962,0.0022899031,0.0017013422,0.927781,0.015650393,0.050847583,0.0040196255
-1,0.0015262546,0.0027616376,0.00011520645,0.9664088,0.003956147,0.029042033,0.00047781077
0,0.002562507,0.0029752634,0.004837887,0.85179514,0.038449712,0.094606906,0.010310319
1,0.0023774863,0.0025773277,0.044813283,0.8062461,0.09209398,0.036439303,0.020407297
0,0.0030017637,0.0023035125,0.002520225,0.8965159,0.025180593,0.0697711,0.0060121473
0,0.0010825953,0.0022801668,0.0016838022,0.91720164,0.018867444,0.058074173,0.004172929
0,0.001468822,0.0023242861,0.0017342385,0.9238143,0.01777819,0.05236746,0.0043058065
0,0.0021887773,0.0027114062,0.0015157489,0.93237317,0.015265783,0.04728311,0.0035622462
0,0.002631349,0.0030103133,0.0023615824,0.9112448,0.021387156,0.059436183,0.005570314
-1,0.002677715,0.0031359366,0.00014473588,0.96301866,0.0048251487,0.031401403,0.00061000686
2,0.0030498006,0.0032082838,0.007381401,0.97538346,0.0132513875,0.0027992013,0.001184553
0,0.0018699553,0.0023007214,0.0042685876,0.8438088,0.042221412,0.100143604,0.009557595
0,0.0026837487,0.0019681058,0.0033705507,0.8716943,0.03182031,0.08531682,0.007798064
0,0.0017165383,0.0019285671,0.0017576345,0.9111495,0.020188523,0.062413886,0.0044904174
0,0.0013762108,0.0019243148,0.0017957885,0.9225934,0.0177667,0.053357586,0.0044864905
0,0.0027114032,0.0023080164,0.0017832172,0.9274358,0.016707717,0.049772248,0.0043010204
1,0.002357328,0.0028214531,0.03587403,0.864798,0.059247892,0.025459148,0.014620931
-1,0.0021303706,0.003055712,0.0003320987,0.9477774,0.008596238,0.041995984,0.0012982624
0,0.0021297608,0.0030844652,0.0045385654,0.85274935,0.039017357,0.09326534,0.010429382
0,0.0027813804,0.0022250144,0.0028851032,0.8727393,0.029817807,0.08770979,0.00684804
0,0.0023205131,0.0018824469,0.0016873266,0.90743756,0.01967084,0.0668921,0.004312242
0,0.0010186399,0.0017131472,0.0011393682,0.92839,0.013903928,0.05358176,0.0029849308
0,0.001482607,0.0016542807,0.001105729,0.9412089,0.012184057,0.042522665,0.0029786741
0,0.0011068181,0.0018365363,0.0010827315,0.9413653,0.012101717,0.042495817,0.0029543592
0,0.0019369092,0.0021174883,0.0013807616,0.9318849,0.014304342,0.048818197,0.003611818
-1,0.0016442789,0.0025642754,0.00010213078,0.96857375,0.003676624,0.027213022,0.00043447452
0,0.003337855,0.002926503,0.0036191046,0.86709255,0.03424333,0.08628264,0.008762303
0,0.0011145833,0.0024503004,0.0032353268,0.86683047,0.032089274,0.089926586,0.007918316
0,0.0012338213,0.0019846286,0.002361354,0.8965622,0.02431211,0.0706088,0.0061555263
0,0.0017698905,0.0017484581,0.0011944332,0.93413585,0.013497759,0.047981918,0.0031901042
0,0.0013646922,0.0017215026,0.0013256257,0.93353873,0.013984118,0.04772779,0.0034237897
0,0.0010401502,0.0019411832,0.0013193463,0.9354126,0.012940752,0.047105044,0.0032223065
0,0.0020916455,0.0021742187,0.0017315593,0.92575085,0.015244161,0.05318802,0.0040854923
-1,0.0022848179,0.0025969506,0.00014098574,0.9640211,0.0047346386,0.030512212,0.00059103366
0,0.0016203137,0.002801564,0.00587218,0.832993,0.046285506,0.1018794,0.012969979
0,0.0021724564,0.0022492493,0.0039207055,0.852753,0.035623085,0.09878655,0.008916649
0,0.0019107991,0.0019290117,0.0016998901,0.9118894,0.01918712,0.06293097,0.0042925496
0,0.001292346,0.0017571285,0.0012588078,0.9319675,0.01432376,0.049081177,0.0033687635
0,0.0006990231,0.0017187006,0.0010473274,0.94304717,0.011633993,0.041471615,0.0027999324
0,0.0012796252,0.0019535716,0.00094054424,0.9477001,0.011076055,0.037618548,0.0026648056
0,0.0018355933,0.002243135,0.0015339025,0.9308272,0.015517189,0.048110574,0.0040111784
-1,0.0013398952,0.002517198,9.170376e-05,0.96999735,0.003415522,0.02609152,0.0004039372
0,0.0022812674,0.0026759473,0.0030889465,0.88037616,0.029889094,0.07913698,0.0075088143
0,0.0015341297,0.0023239374,0.0036625771,0.853811,0.03519461,0.09888869,0.0084430175
0,0.0021113958,0.0020597507,0.0022898093,0.89545375,0.024352264,0.07224355,0.0056606857
0,0.002321223,0.0019650257,0.001296576,0.92705643,0.015769558,0.0524279,0.003449547
