regime,target,prediction,weight_har_rv,weight_lstm,weight_tcn,weight_chronos_fintext,weight_timesfm_fintext
-1,0.014555703,0.011375984,0.02124713,0.609787,0.32798326,0.03232693,0.008655739
2,0.014511884,0.011410691,0.0029841573,0.4087853,0.4339179,0.00071327767,0.15359929
2,0.008531098,0.0056255516,0.002051664,0.41557947,0.4256624,0.00040702737,0.15629938
2,0.0041287555,0.0047784783,0.0026951039,0.4151168,0.42959157,0.0006019698,0.15199462
2,0.0036241086,0.0042594587,0.0040103965,0.4129612,0.42768323,0.0010593532,0.15428579
2,0.0036589184,0.0043096812,0.0053339787,0.41721457,0.4234781,0.0015434613,0.15242995
2,0.00405706,0.005341326,0.0059295576,0.42137462,0.41936162,0.0017985275,0.15153559
-1,0.0043549496,0.010622278,0.027506549,0.5695913,0.34912184,0.041452955,0.012327394
1,0.005324288,0.010582572,0.042727944,0.4467907,0.33790445,0.024896728,0.14768016
0,0.0041059484,0.0056216437,0.06441789,0.4602933,0.33681706,0.09352246,0.044949286
0,0.0032302598,0.004219269,0.05792217,0.4804088,0.33858302,0.0847566,0.038329445
0,0.002066141,0.0036601892,0.06066339,0.47698253,0.33849144,0.08547227,0.038390357
0,0.0031834445,0.003639751,0.056944873,0.49334127,0.33618674,0.07756058,0.035966575
0,0.0030660431,0.0044624456,0.059832454,0.48467165,0.33498043,0.08289041,0.037625093
-1,0.010872427,0.008160705,0.022282474,0.6215742,0.31218553,0.034974605,0.008983169
2,0.011403443,0.008257142,0.0049783676,0.40969554,0.429485,0.0014067256,0.15443443
2,0.005815859,0.0050971475,0.0023484228,0.42379695,0.42443153,0.000488687,0.14893442
2,0.003610192,0.00419987,0.0031206976,0.42187577,0.42659602,0.00070715405,0.14770037
2,0.0041006287,0.0037027563,0.004042064,0.42303005,0.42320108,0.0010546178,0.14867222
2,0.0031233004,0.0037350142,0.0038066779,0.42720625,0.42047763,0.0009799731,0.14752945
0,0.0018443645,0.0043322174,0.059837867,0.49110386,0.33157465,0.08122571,0.036257938
-1,0.004085795,0.0068644183,0.021044947,0.62766206,0.31320778,0.03097444,0.007110708
2,0.0048333267,0.007383276,0.003847469,0.4212172,0.4281186,0.0010000607,0.14581664
0,0.005358381,0.004848863,0.051677912,0.5013273,0.34243026,0.075626396,0.028938148
0,0.0026770222,0.0038055656,0.052061487,0.49701422,0.34520864,0.0767654,0.028950237
0,0.0015590517,0.0033103898,0.047726877,0.5193783,0.34061086,0.066507034,0.025776884
1,0.002076607,0.0031919123,0.03862189,0.49983317,0.33922577,0.022653246,0.09966594
0,0.004674282,0.0040642964,0.055654027,0.5002248,0.3393993,0.07536053,0.029361263
-1,0.00800563,0.0069802334,0.01947637,0.6328895,0.31083983,0.030201055,0.0065931864
2,0.008140285,0.0069276607,0.004393058,0.4130479,0.42564404,0.0012482706,0.1556668
0,0.003076939,0.00466992,0.061643913,0.47269276,0.34154662,0.087048054,0.037068676
0,0.0024708903,0.0033571334,0.057652622,0.4802492,0.3458045,0.08188264,0.034411017
0,0.002532423,0.0030599427,0.052855078,0.5005355,0.34618232,0.07073723,0.029689906
0,0.004101113,0.0031021545,0.050516613,0.51223737,0.34224984,0.06639514,0.028601056
0,0.0034572908,0.004043493,0.06051665,0.48489445,0.34050602,0.07996947,0.03411343
-1,0.005245063,0.0070189303,0.020553853,0.62153894,0.31828997,0.03209457,0.007522687
0,0.005559796,0.006900774,0.07069336,0.4425938,0.3367252,0.10495777,0.045029897
0,0.0031685473,0.0044676717,0.06014656,0.4649944,0.3452769,0.090005964,0.03957612
0,0.0023266822,0.0032783956,0.05696897,0.47320783,0.34638482,0.085394174,0.03804415
0,0.001990029,0.0028579435,0.053608745,0.49327123,0.34912083,0.07298735,0.031011805
0,0.001916748,0.0027585458,0.051869657,0.50007343,0.350055,0.0689526,0.029049266
0,0.0012633533,0.0032540439,0.055965327,0.4905648,0.3507356,0.07289793,0.029836357
-1,0.009606622,0.0055943364,0.021145143,0.61376935,0.32569453,0.031221922,0.0081691
2,0.009824637,0.0060568824,0.005584466,0.4113129,0.42515954,0.0016607699,0.1562823
0,0.0025267093,0.0040847426,0.06892865,0.46488953,0.32712042,0.09437949,0.044681963
0,0.0024472885,0.0031160703,0.06784532,0.46454903,0.33434495,0.09293568,0.04032503
0,0.001196077,0.0027866834,0.06305409,0.4836024,0.33542833,0.0817614,0.03615381
0,0.0011990867,0.0026387167,0.05649956,0.50226134,0.3343478,0.07335525,0.033536065
0,0.0014919812,0.003191116,0.058991484,0.49264875,0.3374768,0.07780417,0.03307876
-1,0.0031492799,0.004926292,0.023609169,0.616151,0.31795138,0.03408723,0.008201278
2,0.0052182875,0.005818804,0.0054567163,0.42611313,0.40613714,0.00157867,0.1607144
0,0.0025667157,0.003906532,0.057336062,0.48797113,0.33727628,0.084893845,0.03252268
0,0.0026722173,0.0030018587,0.052728593,0.49422574,0.34493986,0.07950331,0.028602572
0,0.0020200377,0.002721244,0.055910528,0.4876132,0.34612328,0.080406666,0.029946318
0,0.0013040863,0.0027377582,0.047569763,0.5204776,0.34015068,0.06510769,0.026694264
0,0.0030862563,0.003227039,0.04895037,0.5166829,0.3388667,0.06775786,0.027742146
-1,0.0033123284,0.004838253,0.020148108,0.62760484,0.31331086,0.03184055,0.007095643
0,0.003057438,0.005003237,0.06856388,0.4647391,0.32720035,0.101103686,0.038392972
0,0.0023334266,0.0034831017,0.04665046,0.51689607,0.34394327,0.06903684,0.02347337
0,0.0022811145,0.002838827,0.050175276,0.5066363,0.34641474,0.0722491,0.024524543
0,0.0010370063,0.002525108,0.04573672,0.5262332,0.34398878,0.061937045,0.022104241
0,0.0011838939,0.0023615356,0.0433607,0.5359062,0.34495386,0.056356143,0.019423086
0,0.0018574587,0.0028725471,0.04525941,0.53266025,0.3410106,0.059450634,0.021619122
-1,0.003429782,0.004456726,0.015144089,0.6508521,0.30699104,0.02275984,0.0042529292
0,0.002963851,0.0048916643,0.064964846,0.4637911,0.34036672,0.09486705,0.0360103
0,0.0026441945,0.0032473498,0.05811164,0.47214502,0.3510513,0.085272856,0.033419278
0,0.0011489181,0.002733267,0.058765177,0.4710313,0.3532168,0.08290831,0.034078363
0,0.0009821734,0.0023348616,0.04696582,0.5083636,0.3568496,0.062491678,0.025329256
1,0.0012572785,0.0025687632,0.038507372,0.49019024,0.3459429,0.025142321,0.10021711
2,0.0062449337,0.0031274278,0.0056569707,0.42899308,0.42312038,0.0017257658,0.14050378
-1,0.007125185,0.0053258124,0.029864596,0.5703966,0.33450726,0.051673677,0.013557929
2,0.007085006,0.0056533003,0.005375527,0.40832785,0.41599965,0.0016521337,0.16864488
0,0.0047135795,0.0038996716,0.07180377,0.42717022,0.34022632,0.10835017,0.0524495
0,0.0020490487,0.003293458,0.0658211,0.44278866,0.3429927,0.10027807,0.048119552
0,0.002255046,0.0029099365,0.05852952,0.46181357,0.3519545,0.087361194,0.04034121
0,0.0016668616,0.0027512752,0.050870772,0.4890597,0.3554602,0.07215,0.032459293
0,0.0019664327,0.0031317463,0.052192453,0.49304613,0.3513596,0.072234444,0.031167325
-1,0.007401685,0.00498282,0.024657583,0.5902143,0.3380777,0.037053056,0.009997366
2,0.0076083397,0.0056877066,0.0057617654,0.41056427,0.4255341,0.0017523776,0.15638748
0,0.0022500579,0.0037901732,0.057455435,0.48998478,0.33549917,0.08319397,0.033866655
0,0.0024201197,0.003065045,0.052196763,0.49855888,0.34179816,0.07712585,0.03032042
0,0.0025628447,0.0029209591,0.05674688,0.4874541,0.34199503,0.080765255,0.033038747
0,0.0025191787,0.0028528236,0.05523131,0.49369112,0.34224316,0.07662513,0.032209236
1,0.002667303,0.0035139138,0.042345855,0.48228994,0.32668817,0.026526038,0.12214992
-1,0.008771439,0.004990866,0.020871205,0.62225497,0.31583208,0.033684008,0.007357732
2,0.008642003,0.00617639,0.0040054605,0.42279175,0.40641326,0.0010646112,0.16572487
0,0.002662543,0.0037975027,0.055581305,0.48785907,0.3409544,0.08298059,0.032624707
0,0.003611412,0.0031280278,0.057597794,0.48510352,0.3428603,0.083169304,0.03126906
0,0.003211101,0.00303005,0.051163133,0.49951208,0.3456968,0.07458179,0.029046107
0,0.0031768784,0.0028969697,0.05309421,0.5000954,0.34879276,0.07106255,0.026955051
0,0.0029291757,0.003345488,0.05560066,0.49218765,0.346451,0.075195566,0.030565156
-1,0.0033854395,0.0051771547,0.01809664,0.63498354,0.31460896,0.02685839,0.0054525277
