instrument,split,rmse,mae,r2,n_samples
INDX.CAC,validation,0.0013890105,0.0009765358,0.6088599,6099
INDX.SPX,validation,0.003838868,0.0017733895,0.4771117,5254
INDX.TPX,validation,0.003108707,0.0019712376,0.33380836,3283
INDX.UKX,validation,0.0011432999,0.0007032391,0.65005946,6004
INDX.NDX,validation,0.0037748453,0.0022077044,0.5121337,5247
INDX.FTSEMIB,validation,0.0016373064,0.0010041527,0.55995697,6074
INDX.SMI,validation,0.001033341,0.00067064055,0.6855105,6007
INDX.CAC,test,0.0012539864,0.0008974784,0.41271794,6731
INDX.SPX,test,0.0025642107,0.0014535832,0.4538136,5750
INDX.TPX,test,0.0035799327,0.002029894,0.16281897,3631
INDX.UKX,test,0.000997326,0.00074355246,0.24932295,6600
INDX.NDX,test,0.003391392,0.0020254804,0.39809704,5750
INDX.FTSEMIB,test,0.0013533942,0.00096444524,0.47270173,6691
INDX.SMI,test,0.0010512468,0.0006776748,0.36668503,6604
