instrument,ensemble_type,rmse,mae,r2
INDX.CAC,uniform,0.0015237039,0.0009965764,0.5293237
INDX.CAC,optimized,0.001374447,0.0009708862,0.61701894
INDX.SPX,uniform,0.0039894776,0.001833528,0.43527812
INDX.SPX,optimized,0.0038299102,0.0017615597,0.4795491
INDX.TPX,uniform,0.003088844,0.0018740931,0.3422944
INDX.TPX,optimized,0.0029975048,0.0019156054,0.38061684
INDX.UKX,uniform,0.0013030291,0.00075774523,0.54544944
INDX.UKX,optimized,0.0011480146,0.00069546205,0.6471674
INDX.NDX,uniform,0.004013899,0.002283596,0.448386
INDX.NDX,optimized,0.0038523946,0.0022207692,0.49188262
INDX.FTSEMIB,uniform,0.0017703853,0.001027361,0.48551726
INDX.FTSEMIB,optimized,0.0016064983,0.001001312,0.5763612
INDX.SMI,uniform,0.001174604,0.00069673324,0.5936486
INDX.SMI,optimized,0.001014741,0.0006556578,0.69673014
