instrument,model,regime,rmse,mae,r2,path
INDX.CAC,lstm,0,0.0012712849,0.00071019377,0.68093634,outputs/models/lstm_INDX.CAC_regime0.pt
INDX.CAC,lstm,1,0.0011974437,0.00072053605,0.71692485,outputs/models/lstm_INDX.CAC_regime1.pt
INDX.CAC,lstm,2,0.00122848,0.0007286202,0.7020607,outputs/models/lstm_INDX.CAC_regime2.pt
INDX.CAC,tcn,0,0.0014011201,0.0008129879,0.612437,outputs/models/tcn_INDX.CAC_regime0.pt
INDX.CAC,tcn,1,0.0014704092,0.0009044254,0.5731572,outputs/models/tcn_INDX.CAC_regime1.pt
INDX.CAC,tcn,2,0.0014445137,0.00086560205,0.5880591,outputs/models/tcn_INDX.CAC_regime2.pt
INDX.SPX,lstm,0,0.003144165,0.0013166415,0.5443717,outputs/models/lstm_INDX.SPX_regime0.pt
INDX.SPX,lstm,1,0.0031393792,0.0013460995,0.5457578,outputs/models/lstm_INDX.SPX_regime1.pt
INDX.SPX,lstm,2,0.0032212473,0.0013953245,0.52175754,outputs/models/lstm_INDX.SPX_regime2.pt
INDX.SPX,tcn,0,0.0032589487,0.0013970181,0.51049733,outputs/models/tcn_INDX.SPX_regime0.pt
INDX.SPX,tcn,1,0.0031933568,0.0014339295,0.53000325,outputs/models/tcn_INDX.SPX_regime1.pt
INDX.SPX,tcn,2,0.0031592804,0.001467745,0.5399804,outputs/models/tcn_INDX.SPX_regime2.pt
INDX.TPX,lstm,0,0.0016304762,0.0010220368,0.43014896,outputs/models/lstm_INDX.TPX_regime0.pt
INDX.TPX,lstm,1,0.0016115952,0.0010506687,0.44327044,outputs/models/lstm_INDX.TPX_regime1.pt
INDX.TPX,lstm,2,0.0016002083,0.0010509366,0.45110983,outputs/models/lstm_INDX.TPX_regime2.pt
INDX.TPX,tcn,0,0.0015717071,0.0010367159,0.47048825,outputs/models/tcn_INDX.TPX_regime0.pt
INDX.TPX,tcn,1,0.0015787776,0.0011288424,0.46571344,outputs/models/tcn_INDX.TPX_regime1.pt
INDX.TPX,tcn,2,0.001543444,0.0010625275,0.48936087,outputs/models/tcn_INDX.TPX_regime2.pt
INDX.UKX,lstm,0,0.0011174269,0.0006361558,0.683712,outputs/models/lstm_INDX.UKX_regime0.pt
INDX.UKX,lstm,1,0.0011275879,0.0006446447,0.6779338,outputs/models/lstm_INDX.UKX_regime1.pt
INDX.UKX,lstm,2,0.0011539389,0.00064692006,0.6627049,outputs/models/lstm_INDX.UKX_regime2.pt
INDX.UKX,tcn,0,0.0012173229,0.00068307953,0.62463313,outputs/models/tcn_INDX.UKX_regime0.pt
INDX.UKX,tcn,1,0.0012564132,0.0007250084,0.6001387,outputs/models/tcn_INDX.UKX_regime1.pt
INDX.UKX,tcn,2,0.0011926465,0.00069874193,0.6396971,outputs/models/tcn_INDX.UKX_regime2.pt
INDX.NDX,lstm,0,0.0034050806,0.001500957,0.49298316,outputs/models/lstm_INDX.NDX_regime0.pt
INDX.NDX,lstm,1,0.00337035,0.001479264,0.50327325,outputs/models/lstm_INDX.NDX_regime1.pt
INDX.NDX,lstm,2,0.0033985588,0.0015276711,0.4949236,outputs/models/lstm_INDX.NDX_regime2.pt
INDX.NDX,tcn,0,0.0032638293,0.0016285379,0.5341754,outputs/models/tcn_INDX.NDX_regime0.pt
INDX.NDX,tcn,1,0.0032579214,0.0015600967,0.5358603,outputs/models/tcn_INDX.NDX_regime1.pt
INDX.NDX,tcn,2,0.003206385,0.0016529238,0.5504284,outputs/models/tcn_INDX.NDX_regime2.pt
INDX.FTSEMIB,lstm,0,0.0015062293,0.00078776694,0.64775157,outputs/models/lstm_INDX.FTSEMIB_regime0.pt
INDX.FTSEMIB,lstm,1,0.0015267957,0.0007968893,0.6380666,outputs/models/lstm_INDX.FTSEMIB_regime1.pt
INDX.FTSEMIB,lstm,2,0.0016449083,0.00084477843,0.57990235,outputs/models/lstm_INDX.FTSEMIB_regime2.pt
INDX.FTSEMIB,tcn,0,0.0016093642,0.0008834021,0.59786165,outputs/models/tcn_INDX.FTSEMIB_regime0.pt
INDX.FTSEMIB,tcn,1,0.0016256998,0.0009521787,0.5896565,outputs/models/tcn_INDX.FTSEMIB_regime1.pt
INDX.FTSEMIB,tcn,2,0.0015973676,0.00091402343,0.6038346,outputs/models/tcn_INDX.FTSEMIB_regime2.pt
INDX.SMI,lstm,0,0.0010245531,0.0005710326,0.7019572,outputs/models/lstm_INDX.SMI_regime0.pt
INDX.SMI,lstm,1,0.0010537084,0.0005870558,0.6847533,outputs/models/lstm_INDX.SMI_regime1.pt
INDX.SMI,lstm,2,0.0010668538,0.0005987154,0.67683864,outputs/models/lstm_INDX.SMI_regime2.pt
INDX.SMI,tcn,0,0.0011244739,0.00059419696,0.64098847,outputs/models/tcn_INDX.SMI_regime0.pt
INDX.SMI,tcn,1,0.001038149,0.0005720073,0.69399464,outputs/models/tcn_INDX.SMI_regime1.pt
INDX.SMI,tcn,2,0.0011324957,0.0005941339,0.6358479,outputs/models/tcn_INDX.SMI_regime2.pt
